,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
9557,149.86,Private room,2,-9.14207,38.72835,Lisbon,Arroios
9558,124.3,Private room,2,-9.14081,38.72867,Lisbon,Arroios
9559,263.6,Entire home,4,-9.155,38.708,Lisbon,Estrela
9560,466.93,Entire home,6,-9.14456,38.72547,Lisbon,Santo Antnio
9561,269.47,Entire home,5,-9.13855,38.73178,Lisbon,Arroios
9562,216.93,Entire home,4,-9.14454,38.728840000000005,Lisbon,Arroios
9563,240.62,Entire home,2,-9.15618,38.71575,Lisbon,Campo de Ourique
9564,215.06,Entire home,4,-9.13834,38.72072,Lisbon,Arroios
9565,182.46,Entire home,2,-9.13845,38.720290000000006,Lisbon,Arroios
9566,235.69,Entire home,2,-9.14534,38.73043,Lisbon,Arroios
9567,189.26,Entire home,3,-9.1552,38.7082,Lisbon,Estrela
9568,109.05,Private room,2,-9.13978,38.73084,Lisbon,Arroios
9569,109.05,Private room,2,-9.13811,38.73096,Lisbon,Arroios
9570,413.7,Entire home,6,-9.13929,38.73101,Lisbon,Arroios
9571,269.47,Entire home,4,-9.143,38.727,Lisbon,Arroios
9572,206.14,Private room,2,-9.142,38.728,Lisbon,Arroios
9573,251.88,Entire home,5,-9.13669,38.7301,Lisbon,Arroios
9574,267.12,Entire home,4,-9.14175,38.7286,Lisbon,Arroios
9575,251.88,Entire home,4,-9.14149,38.72757,Lisbon,Arroios
9576,145.17,Private room,2,-9.15776,38.74181,Lisbon,Avenidas Novas
9577,203.1,Entire home,4,-9.14129,38.72719,Lisbon,Arroios
9578,246.25,Entire home,4,-9.13911,38.72192,Lisbon,Arroios
9579,94.04,Private room,2,-9.15209,38.73497,Lisbon,Avenidas Novas
9580,87.01,Private room,2,-9.15681,38.70774,Lisbon,Estrela
9581,112.57,Private room,2,-9.14266,38.72562,Lisbon,Arroios
9582,234.52,Entire home,4,-9.15557,38.71462,Lisbon,Estrela
9583,234.52,Entire home,4,-9.15623,38.71407,Lisbon,Estrela
9584,228.66,Entire home,3,-9.14761,38.73187,Lisbon,Avenidas Novas
9585,220.68,Private room,2,-9.15499,38.70868,Lisbon,Estrela
9586,240.38,Entire home,6,-9.157,38.713,Lisbon,Estrela
9587,238.04,Entire home,4,-9.15146,38.73831,Lisbon,Avenidas Novas
9588,241.56,Entire home,2,-9.1543,38.71583,Lisbon,Santo Antnio
9589,201.92,Entire home,4,-9.15685,38.71509,Lisbon,Campo de Ourique
9590,172.84,Private room,2,-9.155,38.712,Lisbon,Estrela
9591,172.84,Private room,2,-9.15716,38.71156,Lisbon,Estrela
9592,134.62,Private room,2,-9.15531,38.7107,Lisbon,Estrela
9593,193.95,Private room,2,-9.13842,38.71931,Lisbon,Arroios
9594,234.52,Entire home,4,-9.14115,38.72692,Lisbon,Arroios
9595,151.97,Private room,2,-9.154,38.708,Lisbon,Estrela
9596,147.28,Private room,2,-9.154,38.708,Lisbon,Estrela
9597,226.55,Entire home,4,-9.15583,38.70842,Lisbon,Estrela
9598,333.26,Entire home,5,-9.15647,38.71558,Lisbon,Campo de Ourique
9599,187.85,Entire home,3,-9.13774,38.72522,Lisbon,Arroios
9600,391.42,Entire home,4,-9.15157,38.7362,Lisbon,Avenidas Novas
9601,189.26,Entire home,3,-9.15403,38.70788,Lisbon,Estrela
9602,196.29,Entire home,3,-9.15509,38.70948,Lisbon,Estrela
9603,196.29,Entire home,3,-9.15377,38.70791,Lisbon,Estrela
9604,196.29,Entire home,3,-9.15334,38.70848,Lisbon,Estrela
9605,196.29,Entire home,3,-9.15538,38.7087,Lisbon,Estrela
